trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000113389_IRNT_height,56.1889,0,ENSG00000113389,IRNT_height
ENSG00000113597_IRNT_height,8.71902,0,ENSG00000113597,IRNT_height
ENSG00000113739_IRNT_height,48.4485,0,ENSG00000113739,IRNT_height
ENSG00000114650_IRNT_RBC,7.18687,0,ENSG00000114650,IRNT_RBC
ENSG00000114841_IRNT_TG,6.9371,0,ENSG00000114841,IRNT_TG
ENSG00000115234_IRNT_TG,10.8192,0,ENSG00000115234,IRNT_TG
ENSG00000115310_ZBMD,10.231,0,ENSG00000115310,ZBMD
ENSG00000115657_IRNT_height,13.4416,0,ENSG00000115657,IRNT_height
ENSG00000115827_ZBMD,9.25415,0,ENSG00000115827,ZBMD
ENSG00000116183_IRNT_height,8.96999,0,ENSG00000116183,IRNT_height
ENSG00000116698_IRNT_height,9.84991,0,ENSG00000116698,IRNT_height
ENSG00000118137_IRNT_TG,11.596,0,ENSG00000118137,IRNT_TG
ENSG00000118702_IRNT_height,19.6373,0,ENSG00000118702,IRNT_height
ENSG00000120889_IRNT_TG,7.62216,0,ENSG00000120889,IRNT_TG
ENSG00000121005_IRNT_height,22.5985,0,ENSG00000121005,IRNT_height
ENSG00000121281_IRNT_RBC,7.28214,0,ENSG00000121281,IRNT_RBC
ENSG00000121853_IRNT_height,12.3112,0,ENSG00000121853,IRNT_height
ENSG00000122406_IRNT_height,24.5579,0,ENSG00000122406,IRNT_height
ENSG00000122729_IRNT_RBC,15.1185,0,ENSG00000122729,IRNT_RBC
ENSG00000123454_hypertension,8.99026,0,ENSG00000123454,hypertension
ENSG00000123454_IRNT_DBP,16.8615,0,ENSG00000123454,IRNT_DBP
ENSG00000123454_IRNT_SBP,13.0229,0,ENSG00000123454,IRNT_SBP
ENSG00000123505_IRNT_height,7.20217,0,ENSG00000123505,IRNT_height
ENSG00000123739_IRNT_height,7.70706,0,ENSG00000123739,IRNT_height
ENSG00000123739_IRNT_TG,52.7793,0,ENSG00000123739,IRNT_TG
ENSG00000123892_IRNT_Ca,16.3189,0,ENSG00000123892,IRNT_Ca
ENSG00000124089_IRNT_height,9.87004,0,ENSG00000124089,IRNT_height
ENSG00000124253_IRNT_TG,7.0098,0,ENSG00000124253,IRNT_TG
ENSG00000124493_IRNT_height,14.027,0,ENSG00000124493,IRNT_height
ENSG00000124749_IRNT_SBP,13.9198,0,ENSG00000124749,IRNT_SBP
ENSG00000124827_IRNT_Ca,7.08831,0,ENSG00000124827,IRNT_Ca
ENSG00000125084_ZBMD,21.2833,1,ENSG00000125084,ZBMD
ENSG00000125149_IRNT_height,7.07879,0,ENSG00000125149,IRNT_height
ENSG00000125149_IRNT_RBC,8.95977,0,ENSG00000125149,IRNT_RBC
ENSG00000126458_IRNT_SBP,7.23112,0,ENSG00000126458,IRNT_SBP
ENSG00000126461_IRNT_Ca,8.05157,0,ENSG00000126461,IRNT_Ca
ENSG00000127948_IRNT_height,8.35613,0,ENSG00000127948,IRNT_height
ENSG00000127948_IRNT_TG,8.78224,0,ENSG00000127948,IRNT_TG
ENSG00000128655_IRNT_height,8.23196,0,ENSG00000128655,IRNT_height
ENSG00000129214_IRNT_height,11.3245,0,ENSG00000129214,IRNT_height
ENSG00000129214_IRNT_TG,8.94286,0,ENSG00000129214,IRNT_TG
ENSG00000129214_ZBMD,20.9535,0,ENSG00000129214,ZBMD
ENSG00000129250_IRNT_TG,7.04887,0,ENSG00000129250,IRNT_TG
ENSG00000130164_Hypercholesterolemia,32.6568,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130164_IRNT_LDL,78.1653,1,ENSG00000130164,IRNT_LDL
ENSG00000130173_IRNT_TG,16.2223,0,ENSG00000130173,IRNT_TG
ENSG00000130203_IRNT_LDL,8.95826,1,ENSG00000130203,IRNT_LDL
ENSG00000130204_IRNT_LDL,12.3802,0,ENSG00000130204,IRNT_LDL
ENSG00000130300_IRNT_height,7.72342,0,ENSG00000130300,IRNT_height
ENSG00000130427_IRNT_RBC,69.5045,1,ENSG00000130427,IRNT_RBC
ENSG00000130429_IRNT_RBC,6.98539,0,ENSG00000130429,IRNT_RBC
ENSG00000130561_IRNT_biliru,20.9941,0,ENSG00000130561,IRNT_biliru
ENSG00000131482_IRNT_Ca,9.95047,0,ENSG00000131482,IRNT_Ca
ENSG00000131482_IRNT_TG,15.4542,0,ENSG00000131482,IRNT_TG
ENSG00000132170_IRNT_TG,8.7021,0,ENSG00000132170,IRNT_TG
ENSG00000132855_IRNT_LDL,33.1777,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,116.432,1,ENSG00000132855,IRNT_TG
ENSG00000133742_IRNT_RBC,7.84567,0,ENSG00000133742,IRNT_RBC
ENSG00000134013_IRNT_height,13.964,0,ENSG00000134013,IRNT_height
ENSG00000134538_IRNT_biliru,44.8604,0,ENSG00000134538,IRNT_biliru
ENSG00000134569_ZBMD,7.00173,1,ENSG00000134569,ZBMD
ENSG00000135517_Cataract,19.8762,1,ENSG00000135517,Cataract
ENSG00000135541_IRNT_RBC,7.95526,0,ENSG00000135541,IRNT_RBC
ENSG00000135766_IRNT_RBC,7.82563,1,ENSG00000135766,IRNT_RBC
ENSG00000136068_IRNT_height,13.3048,1,ENSG00000136068,IRNT_height
ENSG00000136122_IRNT_RBC,9.76545,0,ENSG00000136122,IRNT_RBC
ENSG00000136830_IRNT_height,7.05365,0,ENSG00000136830,IRNT_height
ENSG00000136859_IRNT_height,13.1215,0,ENSG00000136859,IRNT_height
ENSG00000136960_IRNT_height,7.22515,0,ENSG00000136960,IRNT_height
ENSG00000137198_IRNT_RBC,16.1406,0,ENSG00000137198,IRNT_RBC
ENSG00000137310_IRNT_height,7.45244,0,ENSG00000137310,IRNT_height
ENSG00000137337_IRNT_RBC,12.7439,0,ENSG00000137337,IRNT_RBC
ENSG00000137834_ZBMD,11.9355,0,ENSG00000137834,ZBMD
ENSG00000137869_ZBMD,8.94175,0,ENSG00000137869,ZBMD
ENSG00000138075_Hypercholesterolemia,7.12449,1,ENSG00000138075,Hypercholesterolemia
ENSG00000138075_IRNT_LDL,22.7385,0,ENSG00000138075,IRNT_LDL
ENSG00000138336_IRNT_height,8.87299,0,ENSG00000138336,IRNT_height
ENSG00000138829_IRNT_height,35.2505,0,ENSG00000138829,IRNT_height
ENSG00000139044_IRNT_height,17.4085,0,ENSG00000139044,IRNT_height
ENSG00000139155_IRNT_biliru,8.23625,0,ENSG00000139155,IRNT_biliru
ENSG00000139209_IRNT_height,6.98351,0,ENSG00000139209,IRNT_height
ENSG00000139618_Breast_cancer,23.8765,1,ENSG00000139618,Breast_cancer
ENSG00000140443_IRNT_height,22.0223,0,ENSG00000140443,IRNT_height
ENSG00000140470_IRNT_height,49.7829,1,ENSG00000140470,IRNT_height
ENSG00000140691_IRNT_height,11.589,0,ENSG00000140691,IRNT_height
ENSG00000140961_IRNT_height,8.97655,0,ENSG00000140961,IRNT_height
ENSG00000140986_Atrial_fibrillation,8.18206,0,ENSG00000140986,Atrial_fibrillation
ENSG00000141458_IRNT_RBC,7.0952,0,ENSG00000141458,IRNT_RBC
ENSG00000141505_IRNT_LDL,12.363,0,ENSG00000141505,IRNT_LDL
ENSG00000141905_IRNT_height,7.3,0,ENSG00000141905,IRNT_height
ENSG00000142002_IRNT_height,8.54691,0,ENSG00000142002,IRNT_height
ENSG00000142156_IRNT_height,8.57899,0,ENSG00000142156,IRNT_height
ENSG00000142303_IRNT_height,25.2185,1,ENSG00000142303,IRNT_height
ENSG00000142453_IRNT_LDL,8.37075,0,ENSG00000142453,IRNT_LDL
ENSG00000143028_IRNT_LDL,8.6999,0,ENSG00000143028,IRNT_LDL
ENSG00000143257_IRNT_biliru,10.4604,0,ENSG00000143257,IRNT_biliru
ENSG00000143365_IRNT_RBC,9.21701,0,ENSG00000143365,IRNT_RBC
ENSG00000143374_IRNT_height,10.5082,0,ENSG00000143374,IRNT_height
ENSG00000143418_IRNT_height,9.7742,0,ENSG00000143418,IRNT_height
ENSG00000143476_IRNT_height,14.8314,0,ENSG00000143476,IRNT_height
ENSG00000143627_IRNT_RBC,18.2327,1,ENSG00000143627,IRNT_RBC
ENSG00000144481_IRNT_biliru,21.1661,0,ENSG00000144481,IRNT_biliru
ENSG00000144810_IRNT_height,7.91186,0,ENSG00000144810,IRNT_height
ENSG00000145012_IRNT_height,10.42,0,ENSG00000145012,IRNT_height
ENSG00000145730_IRNT_biliru,7.06896,0,ENSG00000145730,IRNT_biliru
ENSG00000145730_IRNT_height,9.65929,0,ENSG00000145730,IRNT_height
ENSG00000145730_T2D,17.3984,1,ENSG00000145730,T2D
ENSG00000146112_IRNT_RBC,13.5078,0,ENSG00000146112,IRNT_RBC
ENSG00000146122_ZBMD,7.59192,0,ENSG00000146122,ZBMD
ENSG00000146197_IRNT_height,13.8005,0,ENSG00000146197,IRNT_height
ENSG00000146373_IRNT_Ca,9.12761,0,ENSG00000146373,IRNT_Ca
ENSG00000146477_IRNT_LDL,13.396,0,ENSG00000146477,IRNT_LDL
ENSG00000146830_IRNT_RBC,14.5658,0,ENSG00000146830,IRNT_RBC
ENSG00000148584_IRNT_Ca,9.4607,0,ENSG00000148584,IRNT_Ca
ENSG00000148584_IRNT_LDL,10.3434,0,ENSG00000148584,IRNT_LDL
ENSG00000148584_IRNT_TG,28.4002,0,ENSG00000148584,IRNT_TG
ENSG00000149257_IRNT_height,16.5708,0,ENSG00000149257,IRNT_height
ENSG00000149311_Breast_cancer,8.30269,1,ENSG00000149311,Breast_cancer
ENSG00000149577_IRNT_TG,7.30485,0,ENSG00000149577,IRNT_TG
ENSG00000149782_IRNT_TG,8.05453,0,ENSG00000149782,IRNT_TG
ENSG00000149948_IRNT_height,7.5964,0,ENSG00000149948,IRNT_height
ENSG00000151422_IRNT_height,10.5987,0,ENSG00000151422,IRNT_height
ENSG00000152254_IRNT_glu,171.762,1,ENSG00000152254,IRNT_glu
ENSG00000152270_IRNT_height,14.5433,0,ENSG00000152270,IRNT_height
ENSG00000152270_IRNT_TG,21.7444,0,ENSG00000152270,IRNT_TG
ENSG00000152556_IRNT_RBC,7.38407,0,ENSG00000152556,IRNT_RBC
ENSG00000152595_ZBMD,58.0416,0,ENSG00000152595,ZBMD
ENSG00000154122_IRNT_glu,15.8219,0,ENSG00000154122,IRNT_glu
ENSG00000154122_T2D,13.0452,1,ENSG00000154122,T2D
ENSG00000154309_IRNT_height,12.5317,0,ENSG00000154309,IRNT_height
ENSG00000156140_IRNT_height,15.3367,0,ENSG00000156140,IRNT_height
ENSG00000156535_ZBMD,8.03175,0,ENSG00000156535,ZBMD
ENSG00000156802_IRNT_height,18.1727,0,ENSG00000156802,IRNT_height
ENSG00000157613_IRNT_TG,6.97024,0,ENSG00000157613,IRNT_TG
ENSG00000157766_IRNT_height,11.477,0,ENSG00000157766,IRNT_height
ENSG00000158019_IRNT_TG,10.682,0,ENSG00000158019,IRNT_TG
ENSG00000158158_IRNT_Ca,11.2483,0,ENSG00000158158,IRNT_Ca
ENSG00000159069_ZBMD,23.0212,0,ENSG00000159069,ZBMD
ENSG00000159184_Cancer_of_prostate,36.7924,1,ENSG00000159184,Cancer_of_prostate
ENSG00000159899_IRNT_height,55.1771,1,ENSG00000159899,IRNT_height
ENSG00000160801_IRNT_height,7.65703,0,ENSG00000160801,IRNT_height
ENSG00000162032_IRNT_height,14.4414,0,ENSG00000162032,IRNT_height
ENSG00000162337_ZBMD,91.5737,1,ENSG00000162337,ZBMD
ENSG00000162378_IRNT_height,7.62504,0,ENSG00000162378,IRNT_height
ENSG00000162430_IRNT_height,6.94542,0,ENSG00000162430,IRNT_height
ENSG00000162551_IRNT_Ca,16.1011,0,ENSG00000162551,IRNT_Ca
ENSG00000162551_ZBMD,15.9395,1,ENSG00000162551,ZBMD
ENSG00000162733_IRNT_height,17.0769,0,ENSG00000162733,IRNT_height
ENSG00000162804_IRNT_height,9.08869,0,ENSG00000162804,IRNT_height
ENSG00000163072_IRNT_height,6.92156,0,ENSG00000163072,IRNT_height
ENSG00000163093_IRNT_height,7.20536,0,ENSG00000163093,IRNT_height
ENSG00000163406_IRNT_Ca,7.06945,0,ENSG00000163406,IRNT_Ca
ENSG00000163501_IRNT_height,36.2436,0,ENSG00000163501,IRNT_height
ENSG00000163631_IRNT_biliru,9.08075,0,ENSG00000163631,IRNT_biliru
ENSG00000163631_IRNT_Ca,33.3861,0,ENSG00000163631,IRNT_Ca
ENSG00000163754_IRNT_height,12.2098,0,ENSG00000163754,IRNT_height
ENSG00000163950_IRNT_height,7.55198,0,ENSG00000163950,IRNT_height
ENSG00000164062_IRNT_RBC,8.49724,0,ENSG00000164062,IRNT_RBC
ENSG00000164116_IRNT_DBP,7.16635,0,ENSG00000164116,IRNT_DBP
ENSG00000164362_IRNT_RBC,11.6988,0,ENSG00000164362,IRNT_RBC
ENSG00000164756_IRNT_glu,8.28264,1,ENSG00000164756,IRNT_glu
ENSG00000164867_IRNT_DBP,6.97673,1,ENSG00000164867,IRNT_DBP
ENSG00000164949_IRNT_SBP,8.21212,0,ENSG00000164949,IRNT_SBP
ENSG00000165029_IRNT_LDL,9.48174,1,ENSG00000165029,IRNT_LDL
ENSG00000165424_IRNT_height,7.10163,0,ENSG00000165424,IRNT_height
ENSG00000165806_Cataract,18.5389,0,ENSG00000165806,Cataract
ENSG00000166033_IRNT_height,18.8888,0,ENSG00000166033,IRNT_height
ENSG00000166035_IRNT_TG,22.9678,0,ENSG00000166035,IRNT_TG
ENSG00000166509_IRNT_height,21.6887,0,ENSG00000166509,IRNT_height
ENSG00000166526_IRNT_RBC,11.5975,0,ENSG00000166526,IRNT_RBC
ENSG00000166603_IRNT_BMI,27.0711,1,ENSG00000166603,IRNT_BMI
ENSG00000166801_IRNT_height,10.8938,0,ENSG00000166801,IRNT_height
ENSG00000166925_IRNT_RBC,14.2185,0,ENSG00000166925,IRNT_RBC
ENSG00000167104_IRNT_height,7.58935,0,ENSG00000167104,IRNT_height
ENSG00000167123_IRNT_height,7.99379,0,ENSG00000167123,IRNT_height
ENSG00000167165_IRNT_biliru,60.4243,0,ENSG00000167165,IRNT_biliru
ENSG00000167333_IRNT_height,8.27488,0,ENSG00000167333,IRNT_height
ENSG00000167395_IRNT_height,10.2831,0,ENSG00000167395,IRNT_height
ENSG00000167395_IRNT_SBP,10.0977,0,ENSG00000167395,IRNT_SBP
ENSG00000167601_IRNT_TG,13.7363,0,ENSG00000167601,IRNT_TG
ENSG00000167772_IRNT_TG,32.8247,0,ENSG00000167772,IRNT_TG
ENSG00000167930_IRNT_glu,8.70862,0,ENSG00000167930,IRNT_glu
ENSG00000168056_IRNT_height,13.8534,1,ENSG00000168056,IRNT_height
ENSG00000168140_IRNT_height,7.2638,0,ENSG00000168140,IRNT_height
ENSG00000168140_ZBMD,14.8649,0,ENSG00000168140,ZBMD
ENSG00000168477_IRNT_height,12.5848,0,ENSG00000168477,IRNT_height
ENSG00000168477_IRNT_LDL,9.99269,0,ENSG00000168477,IRNT_LDL
ENSG00000168496_IRNT_height,8.01085,0,ENSG00000168496,IRNT_height
ENSG00000168763_IRNT_height,12.0429,0,ENSG00000168763,IRNT_height
ENSG00000169031_IRNT_RBC,6.97874,0,ENSG00000169031,IRNT_RBC
ENSG00000169047_IRNT_height,11.4477,0,ENSG00000169047,IRNT_height
ENSG00000169174_Hypercholesterolemia,12.6597,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_biliru,9.86021,0,ENSG00000169174,IRNT_biliru
ENSG00000169174_IRNT_LDL,242.791,1,ENSG00000169174,IRNT_LDL
ENSG00000169231_IRNT_height,14.0076,0,ENSG00000169231,IRNT_height
ENSG00000169418_IRNT_SBP,9.12091,0,ENSG00000169418,IRNT_SBP
ENSG00000170374_ZBMD,7.4644,1,ENSG00000170374,ZBMD
ENSG00000170779_IRNT_height,8.56636,0,ENSG00000170779,IRNT_height
ENSG00000171105_IRNT_TG,12.2184,0,ENSG00000171105,IRNT_TG
ENSG00000171174_IRNT_TG,9.74683,0,ENSG00000171174,IRNT_TG
ENSG00000171234_IRNT_LDL,9.05781,0,ENSG00000171234,IRNT_LDL
ENSG00000171564_IRNT_LDL,10.1626,0,ENSG00000171564,IRNT_LDL
ENSG00000171564_IRNT_TG,11.075,0,ENSG00000171564,IRNT_TG
ENSG00000171812_IRNT_height,9.51764,0,ENSG00000171812,IRNT_height
ENSG00000172661_IRNT_RBC,7.66173,0,ENSG00000172661,IRNT_RBC
ENSG00000173250_IRNT_BMI,8.36292,0,ENSG00000173250,IRNT_BMI
ENSG00000173250_IRNT_WHR,7.81182,0,ENSG00000173250,IRNT_WHR
ENSG00000173889_IRNT_height,7.49463,0,ENSG00000173889,IRNT_height
ENSG00000174032_IRNT_TG,9.30602,0,ENSG00000174032,IRNT_TG
ENSG00000174177_IRNT_height,10.3563,0,ENSG00000174177,IRNT_height
