trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000123454_IRNT_SBP,11.2449,0,ENSG00000123454,IRNT_SBP
ENSG00000123505_IRNT_height,8.49999,0,ENSG00000123505,IRNT_height
ENSG00000123612_IRNT_WHR,7.15568,0,ENSG00000123612,IRNT_WHR
ENSG00000123739_IRNT_TG,23.582,0,ENSG00000123739,IRNT_TG
ENSG00000124749_IRNT_SBP,20.7486,0,ENSG00000124749,IRNT_SBP
ENSG00000124827_IRNT_Ca,16.4097,0,ENSG00000124827,IRNT_Ca
ENSG00000125084_ZBMD,17.2746,1,ENSG00000125084,ZBMD
ENSG00000125844_IRNT_LDL,15.3171,0,ENSG00000125844,IRNT_LDL
ENSG00000128655_IRNT_height,8.60767,0,ENSG00000128655,IRNT_height
ENSG00000129173_IRNT_RBC,12.3907,0,ENSG00000129173,IRNT_RBC
ENSG00000130158_IRNT_LDL,9.25953,0,ENSG00000130158,IRNT_LDL
ENSG00000130164_Hypercholesterolemia,44.415,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130164_IRNT_LDL,63.2332,1,ENSG00000130164,IRNT_LDL
ENSG00000130173_IRNT_TG,28.5131,0,ENSG00000130173,IRNT_TG
ENSG00000130427_IRNT_RBC,8.56013,1,ENSG00000130427,IRNT_RBC
ENSG00000130508_IRNT_height,7.4073,0,ENSG00000130508,IRNT_height
ENSG00000130561_IRNT_biliru,8.42484,0,ENSG00000130561,IRNT_biliru
ENSG00000130700_IRNT_DBP,7.71969,0,ENSG00000130700,IRNT_DBP
ENSG00000131459_IRNT_height,10.0995,0,ENSG00000131459,IRNT_height
ENSG00000131482_IRNT_Ca,7.31578,0,ENSG00000131482,IRNT_Ca
ENSG00000131482_IRNT_TG,22.0093,0,ENSG00000131482,IRNT_TG
ENSG00000132170_IRNT_TG,12.1724,0,ENSG00000132170,IRNT_TG
ENSG00000132855_IRNT_LDL,31.581,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,101.506,1,ENSG00000132855,IRNT_TG
ENSG00000134013_IRNT_height,12.6766,0,ENSG00000134013,IRNT_height
ENSG00000134538_IRNT_biliru,49.6592,0,ENSG00000134538,IRNT_biliru
ENSG00000135517_Cataract,31.5454,1,ENSG00000135517,Cataract
ENSG00000135766_IRNT_RBC,16.6682,1,ENSG00000135766,IRNT_RBC
ENSG00000136068_IRNT_height,13.2903,1,ENSG00000136068,IRNT_height
ENSG00000136859_IRNT_height,13.9339,0,ENSG00000136859,IRNT_height
ENSG00000137198_IRNT_RBC,17.9563,0,ENSG00000137198,IRNT_RBC
ENSG00000137310_IRNT_height,7.16802,0,ENSG00000137310,IRNT_height
ENSG00000137834_IRNT_RBC,7.1566,0,ENSG00000137834,IRNT_RBC
ENSG00000137834_ZBMD,18.622,0,ENSG00000137834,ZBMD
ENSG00000137869_ZBMD,8.40257,0,ENSG00000137869,ZBMD
ENSG00000138075_IRNT_LDL,11.6973,0,ENSG00000138075,IRNT_LDL
ENSG00000138336_IRNT_height,17.9164,0,ENSG00000138336,IRNT_height
ENSG00000139044_IRNT_height,19.6197,0,ENSG00000139044,IRNT_height
ENSG00000139155_IRNT_biliru,8.30617,0,ENSG00000139155,IRNT_biliru
ENSG00000139618_Breast_cancer,76.0314,1,ENSG00000139618,Breast_cancer
ENSG00000139618_Cancer_of_prostate,10.6917,1,ENSG00000139618,Cancer_of_prostate
ENSG00000140092_IRNT_height,9.20416,0,ENSG00000140092,IRNT_height
ENSG00000140443_IRNT_height,25.1153,0,ENSG00000140443,IRNT_height
ENSG00000140470_IRNT_height,56.4865,1,ENSG00000140470,IRNT_height
ENSG00000140691_IRNT_height,11.776,0,ENSG00000140691,IRNT_height
ENSG00000140961_IRNT_height,7.97774,0,ENSG00000140961,IRNT_height
ENSG00000140986_Atrial_fibrillation,11.6565,0,ENSG00000140986,Atrial_fibrillation
ENSG00000141505_IRNT_LDL,13.3567,0,ENSG00000141505,IRNT_LDL
ENSG00000141837_IRNT_height,7.4186,0,ENSG00000141837,IRNT_height
ENSG00000141905_IRNT_height,8.74078,0,ENSG00000141905,IRNT_height
ENSG00000142303_IRNT_height,19.5929,1,ENSG00000142303,IRNT_height
ENSG00000142453_IRNT_LDL,8.55858,0,ENSG00000142453,IRNT_LDL
ENSG00000143257_IRNT_biliru,11.7106,0,ENSG00000143257,IRNT_biliru
ENSG00000143365_IRNT_RBC,8.9876,0,ENSG00000143365,IRNT_RBC
ENSG00000143382_IRNT_height,10.9845,0,ENSG00000143382,IRNT_height
ENSG00000143476_IRNT_height,23.226,0,ENSG00000143476,IRNT_height
ENSG00000143627_IRNT_RBC,22.9823,1,ENSG00000143627,IRNT_RBC
ENSG00000143921_IRNT_LDL,6.92049,0,ENSG00000143921,IRNT_LDL
ENSG00000144481_IRNT_biliru,12.3998,0,ENSG00000144481,IRNT_biliru
ENSG00000145012_IRNT_height,14.2989,0,ENSG00000145012,IRNT_height
ENSG00000145730_IRNT_biliru,7.07765,0,ENSG00000145730,IRNT_biliru
ENSG00000145730_IRNT_height,10.1898,0,ENSG00000145730,IRNT_height
ENSG00000145730_T2D,17.2038,1,ENSG00000145730,T2D
ENSG00000145850_IRNT_LDL,7.51583,0,ENSG00000145850,IRNT_LDL
ENSG00000145850_IRNT_TG,7.74913,0,ENSG00000145850,IRNT_TG
ENSG00000146197_IRNT_height,34.4865,0,ENSG00000146197,IRNT_height
ENSG00000146830_IRNT_RBC,11.8163,0,ENSG00000146830,IRNT_RBC
ENSG00000147854_IRNT_height,7.62578,0,ENSG00000147854,IRNT_height
ENSG00000148584_IRNT_Ca,9.42698,0,ENSG00000148584,IRNT_Ca
