trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000119681_IRNT_height,9.05924,1,ENSG00000119681,IRNT_height
ENSG00000119699_IRNT_height,8.06718,0,ENSG00000119699,IRNT_height
ENSG00000120833_IRNT_height,8.19225,0,ENSG00000120833,IRNT_height
ENSG00000120889_IRNT_TG,8.09716,0,ENSG00000120889,IRNT_TG
ENSG00000121005_IRNT_height,34.089,0,ENSG00000121005,IRNT_height
ENSG00000121853_IRNT_height,11.1065,0,ENSG00000121853,IRNT_height
ENSG00000122729_IRNT_RBC,24.6607,0,ENSG00000122729,IRNT_RBC
ENSG00000122884_IRNT_height,7.09739,0,ENSG00000122884,IRNT_height
ENSG00000123454_hypertension,8.61107,0,ENSG00000123454,hypertension
ENSG00000123454_IRNT_DBP,17.1346,0,ENSG00000123454,IRNT_DBP
ENSG00000123454_IRNT_SBP,11.5688,0,ENSG00000123454,IRNT_SBP
ENSG00000123505_IRNT_height,8.33341,0,ENSG00000123505,IRNT_height
ENSG00000123739_IRNT_height,7.22839,0,ENSG00000123739,IRNT_height
ENSG00000123739_IRNT_TG,52.4619,0,ENSG00000123739,IRNT_TG
ENSG00000124089_IRNT_height,8.091,0,ENSG00000124089,IRNT_height
ENSG00000124749_IRNT_SBP,22.9917,0,ENSG00000124749,IRNT_SBP
ENSG00000124827_IRNT_Ca,16.073,0,ENSG00000124827,IRNT_Ca
ENSG00000125084_ZBMD,24.5821,1,ENSG00000125084,ZBMD
ENSG00000125844_IRNT_LDL,11.1968,0,ENSG00000125844,IRNT_LDL
ENSG00000126461_IRNT_Ca,8.35485,0,ENSG00000126461,IRNT_Ca
ENSG00000128655_IRNT_height,8.34358,0,ENSG00000128655,IRNT_height
ENSG00000129173_IRNT_RBC,13.3986,0,ENSG00000129173,IRNT_RBC
ENSG00000130164_Hypercholesterolemia,40.2939,1,ENSG00000130164,Hypercholesterolemia
ENSG00000130164_IRNT_LDL,62.1975,1,ENSG00000130164,IRNT_LDL
ENSG00000130173_IRNT_TG,29.5072,0,ENSG00000130173,IRNT_TG
ENSG00000131459_IRNT_height,11.1549,0,ENSG00000131459,IRNT_height
ENSG00000131482_IRNT_Ca,6.91104,0,ENSG00000131482,IRNT_Ca
ENSG00000131482_IRNT_TG,18.9004,0,ENSG00000131482,IRNT_TG
ENSG00000131759_IRNT_TG,6.91008,0,ENSG00000131759,IRNT_TG
ENSG00000131873_IRNT_height,7.9156,0,ENSG00000131873,IRNT_height
ENSG00000132170_IRNT_TG,11.2948,0,ENSG00000132170,IRNT_TG
ENSG00000132855_Hypercholesterolemia,9.05123,0,ENSG00000132855,Hypercholesterolemia
ENSG00000132855_IRNT_LDL,41.3341,1,ENSG00000132855,IRNT_LDL
ENSG00000132855_IRNT_TG,135.234,1,ENSG00000132855,IRNT_TG
ENSG00000134013_IRNT_height,11.4462,0,ENSG00000134013,IRNT_height
ENSG00000134538_IRNT_biliru,39.5595,0,ENSG00000134538,IRNT_biliru
ENSG00000135100_T2D,9.46647,1,ENSG00000135100,T2D
ENSG00000135517_Cataract,31.9485,1,ENSG00000135517,Cataract
ENSG00000135686_IRNT_TG,8.91829,0,ENSG00000135686,IRNT_TG
ENSG00000135766_IRNT_RBC,7.3662,1,ENSG00000135766,IRNT_RBC
ENSG00000136068_IRNT_height,19.1462,1,ENSG00000136068,IRNT_height
ENSG00000136542_IRNT_height,8.90663,0,ENSG00000136542,IRNT_height
ENSG00000136542_ZBMD,7.64232,0,ENSG00000136542,ZBMD
ENSG00000136859_IRNT_height,24.2595,0,ENSG00000136859,IRNT_height
ENSG00000137198_IRNT_RBC,16.5863,0,ENSG00000137198,IRNT_RBC
ENSG00000137310_IRNT_height,7.01351,0,ENSG00000137310,IRNT_height
ENSG00000137834_IRNT_RBC,7.29713,0,ENSG00000137834,IRNT_RBC
ENSG00000137834_IRNT_SBP,6.94578,0,ENSG00000137834,IRNT_SBP
ENSG00000137834_ZBMD,17.2297,0,ENSG00000137834,ZBMD
ENSG00000137869_ZBMD,6.98201,0,ENSG00000137869,ZBMD
ENSG00000138075_IRNT_LDL,22.5168,0,ENSG00000138075,IRNT_LDL
ENSG00000138078_IRNT_height,7.17594,0,ENSG00000138078,IRNT_height
ENSG00000138336_IRNT_height,17.7691,0,ENSG00000138336,IRNT_height
ENSG00000138685_IRNT_height,16.8399,0,ENSG00000138685,IRNT_height
ENSG00000138735_IRNT_height,7.52802,0,ENSG00000138735,IRNT_height
ENSG00000139044_IRNT_height,14.361,0,ENSG00000139044,IRNT_height
ENSG00000139292_IRNT_height,6.96689,0,ENSG00000139292,IRNT_height
ENSG00000139618_Breast_cancer,52.1015,1,ENSG00000139618,Breast_cancer
ENSG00000140092_IRNT_height,7.79374,0,ENSG00000140092,IRNT_height
ENSG00000140443_IRNT_height,31.2208,0,ENSG00000140443,IRNT_height
ENSG00000140470_IRNT_height,59.812,1,ENSG00000140470,IRNT_height
ENSG00000140691_IRNT_height,11.8949,0,ENSG00000140691,IRNT_height
ENSG00000140986_Atrial_fibrillation,11.0976,0,ENSG00000140986,Atrial_fibrillation
ENSG00000141505_IRNT_LDL,13.1223,0,ENSG00000141505,IRNT_LDL
ENSG00000141905_IRNT_height,9.8393,0,ENSG00000141905,IRNT_height
ENSG00000141905_ZBMD,7.55354,0,ENSG00000141905,ZBMD
ENSG00000142002_IRNT_height,11.7604,0,ENSG00000142002,IRNT_height
ENSG00000142208_IRNT_height,7.38946,0,ENSG00000142208,IRNT_height
ENSG00000142303_IRNT_height,20.9804,1,ENSG00000142303,IRNT_height
ENSG00000142453_IRNT_LDL,8.99841,0,ENSG00000142453,IRNT_LDL
ENSG00000143257_IRNT_biliru,7.13093,0,ENSG00000143257,IRNT_biliru
ENSG00000143341_IRNT_height,7.35602,0,ENSG00000143341,IRNT_height
ENSG00000143365_IRNT_RBC,8.99334,0,ENSG00000143365,IRNT_RBC
ENSG00000143382_IRNT_height,10.4527,0,ENSG00000143382,IRNT_height
ENSG00000143476_IRNT_height,27.2552,0,ENSG00000143476,IRNT_height
ENSG00000143627_IRNT_RBC,15.809,1,ENSG00000143627,IRNT_RBC
ENSG00000143921_IRNT_LDL,10.1088,0,ENSG00000143921,IRNT_LDL
ENSG00000145012_IRNT_height,14.1412,0,ENSG00000145012,IRNT_height
ENSG00000145730_IRNT_height,9.9435,0,ENSG00000145730,IRNT_height
ENSG00000145730_T2D,17.6636,1,ENSG00000145730,T2D
ENSG00000145850_IRNT_LDL,8.81199,0,ENSG00000145850,IRNT_LDL
ENSG00000145850_IRNT_TG,8.44076,0,ENSG00000145850,IRNT_TG
ENSG00000146197_IRNT_height,46.9204,0,ENSG00000146197,IRNT_height
ENSG00000146830_T2D,9.99145,0,ENSG00000146830,T2D
