"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000139292_IRNT_height",6.96689,0,"ENSG00000139292","height"
"ENSG00000139618_Breast_cancer",52.1015,1,"ENSG00000139618","Breast cancer"
"ENSG00000140092_IRNT_height",7.79374,0,"ENSG00000140092","height"
"ENSG00000140443_IRNT_height",31.2208,0,"ENSG00000140443","height"
"ENSG00000140470_IRNT_height",59.812,1,"ENSG00000140470","height"
"ENSG00000140691_IRNT_height",11.8949,0,"ENSG00000140691","height"
"ENSG00000140986_Atrial_fibrillation",11.0976,0,"ENSG00000140986","Cardiac dysrhythmias"
"ENSG00000141505_IRNT_LDL",13.1223,0,"ENSG00000141505","ldl"
"ENSG00000141905_IRNT_height",9.8393,0,"ENSG00000141905","height"
"ENSG00000141905_ZBMD",7.55354,0,"ENSG00000141905","ebmd"
"ENSG00000142002_IRNT_height",11.7604,0,"ENSG00000142002","height"
"ENSG00000142208_IRNT_height",7.38946,0,"ENSG00000142208","height"
"ENSG00000142303_IRNT_height",20.9804,1,"ENSG00000142303","height"
"ENSG00000142453_IRNT_LDL",8.99841,0,"ENSG00000142453","ldl"
"ENSG00000143257_IRNT_biliru",7.13093,0,"ENSG00000143257","dbilirubin"
"ENSG00000143341_IRNT_height",7.35602,0,"ENSG00000143341","height"
"ENSG00000143365_IRNT_RBC",8.99334,0,"ENSG00000143365","rbc"
"ENSG00000143382_IRNT_height",10.4527,0,"ENSG00000143382","height"
"ENSG00000143476_IRNT_height",27.2552,0,"ENSG00000143476","height"
"ENSG00000143627_IRNT_RBC",15.809,1,"ENSG00000143627","rbc"
"ENSG00000143921_IRNT_LDL",10.1088,0,"ENSG00000143921","ldl"
"ENSG00000145012_IRNT_height",14.1412,0,"ENSG00000145012","height"
"ENSG00000145730_IRNT_height",9.9435,0,"ENSG00000145730","height"
"ENSG00000145730_T2D",17.6636,1,"ENSG00000145730","Diabetes mellitus"
"ENSG00000145850_IRNT_LDL",8.81199,0,"ENSG00000145850","ldl"
"ENSG00000145850_IRNT_TG",8.44076,0,"ENSG00000145850","tg"
"ENSG00000146197_IRNT_height",46.9204,0,"ENSG00000146197","height"
"ENSG00000146830_T2D",9.99145,0,"ENSG00000146830","Diabetes mellitus"
"ENSG00000147854_IRNT_height",8.50594,0,"ENSG00000147854","height"
"ENSG00000149177_IRNT_height",8.58231,0,"ENSG00000149177","height"
"ENSG00000149257_IRNT_height",18.2922,0,"ENSG00000149257","height"
"ENSG00000149311_Breast_cancer",10.1447,1,"ENSG00000149311","Breast cancer"
"ENSG00000149948_IRNT_height",14.3368,0,"ENSG00000149948","height"
"ENSG00000151468_IRNT_height",8.35011,0,"ENSG00000151468","height"
"ENSG00000152242_IRNT_height",7.01259,0,"ENSG00000152242","height"
"ENSG00000152254_IRNT_glu",68.2856,1,"ENSG00000152254","glucose"
"ENSG00000152270_IRNT_height",18.6304,0,"ENSG00000152270","height"
"ENSG00000152270_IRNT_TG",22.3041,0,"ENSG00000152270","tg"
"ENSG00000152595_ZBMD",65.977,0,"ENSG00000152595","ebmd"
"ENSG00000153162_IRNT_height",13.9804,0,"ENSG00000153162","height"
"ENSG00000154309_IRNT_height",8.92722,0,"ENSG00000154309","height"
"ENSG00000156140_IRNT_height",20.8316,0,"ENSG00000156140","height"
"ENSG00000156535_ZBMD",20.273,0,"ENSG00000156535","ebmd"
"ENSG00000157766_IRNT_height",22.1929,0,"ENSG00000157766","height"
"ENSG00000158158_IRNT_Ca",14.8407,0,"ENSG00000158158","calcium"
"ENSG00000159069_ZBMD",12.9609,0,"ENSG00000159069","ebmd"
