"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000124253_IRNT_TG",7.0098,0,"ENSG00000124253","tg"
"ENSG00000124493_IRNT_height",14.027,0,"ENSG00000124493","height"
"ENSG00000124749_IRNT_SBP",13.9198,0,"ENSG00000124749","sbp"
"ENSG00000124827_IRNT_Ca",7.08831,0,"ENSG00000124827","calcium"
"ENSG00000125084_ZBMD",21.2833,1,"ENSG00000125084","ebmd"
"ENSG00000125149_IRNT_height",7.07879,0,"ENSG00000125149","height"
"ENSG00000125149_IRNT_RBC",8.95977,0,"ENSG00000125149","rbc"
"ENSG00000126458_IRNT_SBP",7.23112,0,"ENSG00000126458","sbp"
"ENSG00000126461_IRNT_Ca",8.05157,0,"ENSG00000126461","calcium"
"ENSG00000127948_IRNT_height",8.35613,0,"ENSG00000127948","height"
"ENSG00000127948_IRNT_TG",8.78224,0,"ENSG00000127948","tg"
"ENSG00000128655_IRNT_height",8.23196,0,"ENSG00000128655","height"
"ENSG00000129214_IRNT_height",11.3245,0,"ENSG00000129214","height"
"ENSG00000129214_IRNT_TG",8.94286,0,"ENSG00000129214","tg"
"ENSG00000129214_ZBMD",20.9535,0,"ENSG00000129214","ebmd"
"ENSG00000129250_IRNT_TG",7.04887,0,"ENSG00000129250","tg"
"ENSG00000130164_Hypercholesterolemia",32.6568,1,"ENSG00000130164","Disorders of lipoid metabolism"
"ENSG00000130164_IRNT_LDL",78.1653,1,"ENSG00000130164","ldl"
"ENSG00000130173_IRNT_TG",16.2223,0,"ENSG00000130173","tg"
"ENSG00000130203_IRNT_LDL",8.95826,1,"ENSG00000130203","ldl"
"ENSG00000130204_IRNT_LDL",12.3802,0,"ENSG00000130204","ldl"
"ENSG00000130300_IRNT_height",7.72342,0,"ENSG00000130300","height"
"ENSG00000130427_IRNT_RBC",69.5045,1,"ENSG00000130427","rbc"
"ENSG00000130429_IRNT_RBC",6.98539,0,"ENSG00000130429","rbc"
"ENSG00000130561_IRNT_biliru",20.9941,0,"ENSG00000130561","dbilirubin"
"ENSG00000131482_IRNT_Ca",9.95047,0,"ENSG00000131482","calcium"
"ENSG00000131482_IRNT_TG",15.4542,0,"ENSG00000131482","tg"
"ENSG00000132170_IRNT_TG",8.7021,0,"ENSG00000132170","tg"
"ENSG00000132855_IRNT_LDL",33.1777,1,"ENSG00000132855","ldl"
"ENSG00000132855_IRNT_TG",116.432,1,"ENSG00000132855","tg"
"ENSG00000133742_IRNT_RBC",7.84567,0,"ENSG00000133742","rbc"
"ENSG00000134013_IRNT_height",13.964,0,"ENSG00000134013","height"
"ENSG00000134538_IRNT_biliru",44.8604,0,"ENSG00000134538","dbilirubin"
"ENSG00000134569_ZBMD",7.00173,1,"ENSG00000134569","ebmd"
"ENSG00000135517_Cataract",19.8762,1,"ENSG00000135517","Cataract"
"ENSG00000135541_IRNT_RBC",7.95526,0,"ENSG00000135541","rbc"
"ENSG00000135766_IRNT_RBC",7.82563,1,"ENSG00000135766","rbc"
"ENSG00000136068_IRNT_height",13.3048,1,"ENSG00000136068","height"
"ENSG00000136122_IRNT_RBC",9.76545,0,"ENSG00000136122","rbc"
"ENSG00000136830_IRNT_height",7.05365,0,"ENSG00000136830","height"
"ENSG00000136859_IRNT_height",13.1215,0,"ENSG00000136859","height"
"ENSG00000136960_IRNT_height",7.22515,0,"ENSG00000136960","height"
"ENSG00000137198_IRNT_RBC",16.1406,0,"ENSG00000137198","rbc"
"ENSG00000137310_IRNT_height",7.45244,0,"ENSG00000137310","height"
"ENSG00000137337_IRNT_RBC",12.7439,0,"ENSG00000137337","rbc"
"ENSG00000137834_ZBMD",11.9355,0,"ENSG00000137834","ebmd"
"ENSG00000137869_ZBMD",8.94175,0,"ENSG00000137869","ebmd"
"ENSG00000138075_Hypercholesterolemia",7.12449,1,"ENSG00000138075","Disorders of lipoid metabolism"
"ENSG00000138075_IRNT_LDL",22.7385,0,"ENSG00000138075","ldl"
"ENSG00000138336_IRNT_height",8.87299,0,"ENSG00000138336","height"
"ENSG00000138829_IRNT_height",35.2505,0,"ENSG00000138829","height"
"ENSG00000139044_IRNT_height",17.4085,0,"ENSG00000139044","height"
"ENSG00000139155_IRNT_biliru",8.23625,0,"ENSG00000139155","dbilirubin"
"ENSG00000139209_IRNT_height",6.98351,0,"ENSG00000139209","height"
"ENSG00000139618_Breast_cancer",23.8765,1,"ENSG00000139618","Breast cancer"
"ENSG00000140443_IRNT_height",22.0223,0,"ENSG00000140443","height"
"ENSG00000140470_IRNT_height",49.7829,1,"ENSG00000140470","height"
"ENSG00000140691_IRNT_height",11.589,0,"ENSG00000140691","height"
"ENSG00000140961_IRNT_height",8.97655,0,"ENSG00000140961","height"
"ENSG00000140986_Atrial_fibrillation",8.18206,0,"ENSG00000140986","Cardiac dysrhythmias"
"ENSG00000141458_IRNT_RBC",7.0952,0,"ENSG00000141458","rbc"
"ENSG00000141505_IRNT_LDL",12.363,0,"ENSG00000141505","ldl"
"ENSG00000141905_IRNT_height",7.3,0,"ENSG00000141905","height"
"ENSG00000142002_IRNT_height",8.54691,0,"ENSG00000142002","height"
"ENSG00000142156_IRNT_height",8.57899,0,"ENSG00000142156","height"
"ENSG00000142303_IRNT_height",25.2185,1,"ENSG00000142303","height"
"ENSG00000142453_IRNT_LDL",8.37075,0,"ENSG00000142453","ldl"
"ENSG00000143028_IRNT_LDL",8.6999,0,"ENSG00000143028","ldl"
"ENSG00000143257_IRNT_biliru",10.4604,0,"ENSG00000143257","dbilirubin"
"ENSG00000143365_IRNT_RBC",9.21701,0,"ENSG00000143365","rbc"
"ENSG00000143374_IRNT_height",10.5082,0,"ENSG00000143374","height"
"ENSG00000143418_IRNT_height",9.7742,0,"ENSG00000143418","height"
"ENSG00000143476_IRNT_height",14.8314,0,"ENSG00000143476","height"
"ENSG00000143627_IRNT_RBC",18.2327,1,"ENSG00000143627","rbc"
"ENSG00000144481_IRNT_biliru",21.1661,0,"ENSG00000144481","dbilirubin"
"ENSG00000144810_IRNT_height",7.91186,0,"ENSG00000144810","height"
"ENSG00000145012_IRNT_height",10.42,0,"ENSG00000145012","height"
"ENSG00000145730_IRNT_biliru",7.06896,0,"ENSG00000145730","dbilirubin"
"ENSG00000145730_IRNT_height",9.65929,0,"ENSG00000145730","height"
"ENSG00000145730_T2D",17.3984,1,"ENSG00000145730","Diabetes mellitus"
