trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000165124_IRNT_DBP,8.05335,0,ENSG00000165124,IRNT_DBP
ENSG00000166147_IRNT_height,8.75575,1,ENSG00000166147,IRNT_height
ENSG00000166603_IRNT_BMI,16.1227,1,ENSG00000166603,IRNT_BMI
ENSG00000166801_IRNT_height,10.0333,0,ENSG00000166801,IRNT_height
ENSG00000166819_IRNT_TG,13.6064,0,ENSG00000166819,IRNT_TG
ENSG00000166819_IRNT_WHR,11.0854,0,ENSG00000166819,IRNT_WHR
ENSG00000167165_IRNT_biliru,9.31226,0,ENSG00000167165,IRNT_biliru
ENSG00000167658_IRNT_RBC,8.37298,0,ENSG00000167658,IRNT_RBC
ENSG00000167676_IRNT_WHR,8.42336,0,ENSG00000167676,IRNT_WHR
ENSG00000167676_ZBMD,9.20503,0,ENSG00000167676,ZBMD
ENSG00000167772_IRNT_TG,12.5509,0,ENSG00000167772,IRNT_TG
ENSG00000167930_IRNT_glu,9.79663,0,ENSG00000167930,IRNT_glu
ENSG00000167941_ZBMD,8.86921,1,ENSG00000167941,ZBMD
ENSG00000169047_IRNT_height,22.7603,0,ENSG00000169047,IRNT_height
ENSG00000169174_Hypercholesterolemia,7.37579,1,ENSG00000169174,Hypercholesterolemia
ENSG00000169174_IRNT_biliru,9.28447,0,ENSG00000169174,IRNT_biliru
ENSG00000169174_IRNT_LDL,163.783,1,ENSG00000169174,IRNT_LDL
ENSG00000171150_IRNT_height,8.65248,0,ENSG00000171150,IRNT_height
ENSG00000171502_IRNT_height,7.09487,0,ENSG00000171502,IRNT_height
ENSG00000171812_IRNT_height,8.79535,0,ENSG00000171812,IRNT_height
ENSG00000173064_IRNT_BMI,7.07763,0,ENSG00000173064,IRNT_BMI
ENSG00000173250_IRNT_BMI,8.73795,0,ENSG00000173250,IRNT_BMI
ENSG00000173250_IRNT_WHR,8.9244,0,ENSG00000173250,IRNT_WHR
ENSG00000175318_IRNT_height,13.6367,0,ENSG00000175318,IRNT_height
ENSG00000175445_IRNT_TG,17.5769,1,ENSG00000175445,IRNT_TG
ENSG00000176907_IRNT_RBC,8.2961,0,ENSG00000176907,IRNT_RBC
ENSG00000177853_IRNT_height,8.09252,0,ENSG00000177853,IRNT_height
ENSG00000178177_IRNT_height,28.4168,0,ENSG00000178177,IRNT_height
ENSG00000178252_IRNT_height,10.7457,0,ENSG00000178252,IRNT_height
ENSG00000179218_IRNT_RBC,7.78273,0,ENSG00000179218,IRNT_RBC
ENSG00000180376_IRNT_height,7.80328,0,ENSG00000180376,IRNT_height
ENSG00000181690_IRNT_height,8.13215,0,ENSG00000181690,IRNT_height
ENSG00000182752_IRNT_height,12.0882,0,ENSG00000182752,IRNT_height
ENSG00000183765_Breast_cancer,23.7774,1,ENSG00000183765,Breast_cancer
ENSG00000183765_Cancer_of_prostate,8.80048,1,ENSG00000183765,Cancer_of_prostate
ENSG00000185038_IRNT_biliru,11.8743,0,ENSG00000185038,IRNT_biliru
ENSG00000188536_IRNT_RBC,8.4251,0,ENSG00000188536,IRNT_RBC
ENSG00000196712_IRNT_height,23.7167,0,ENSG00000196712,IRNT_height
ENSG00000196712_IRNT_RBC,8.99205,0,ENSG00000196712,IRNT_RBC
ENSG00000196739_IRNT_height,14.0747,0,ENSG00000196739,IRNT_height
ENSG00000198586_IRNT_height,8.1882,0,ENSG00000198586,IRNT_height
ENSG00000198642_IRNT_height,7.11479,0,ENSG00000198642,IRNT_height
ENSG00000204520_IRNT_height,6.99959,0,ENSG00000204520,IRNT_height
ENSG00000204614_IRNT_height,11.0837,0,ENSG00000204614,IRNT_height
ENSG00000204614_IRNT_LDL,7.72406,0,ENSG00000204614,IRNT_LDL
ENSG00000204614_IRNT_WHR,7.11349,0,ENSG00000204614,IRNT_WHR
ENSG00000205213_ZBMD,9.16649,1,ENSG00000205213,ZBMD
ENSG00000241119_IRNT_biliru,7.78347,0,ENSG00000241119,IRNT_biliru
ENSG00000241635_IRNT_biliru,17.6154,1,ENSG00000241635,IRNT_biliru
ENSG00000242515_IRNT_biliru,29.288,0,ENSG00000242515,IRNT_biliru
ENSG00000244734_IRNT_biliru,9.43994,0,ENSG00000244734,IRNT_biliru
ENSG00000244734_IRNT_RBC,119.715,0,ENSG00000244734,IRNT_RBC
ENSG00000249992_ZBMD,6.97335,0,ENSG00000249992,ZBMD
ENSG00000257727_IRNT_height,16.0465,0,ENSG00000257727,IRNT_height
ENSG00000258366_IRNT_RBC,13.0103,0,ENSG00000258366,IRNT_RBC
ENSG00000278318_IRNT_LDL,29.2567,0,ENSG00000278318,IRNT_LDL
